sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
61; BIOL 290; Introduction to Biotechnology; A; 9:30 AM - 10:45 AM; ; Julia Mills; 3.00
62; BIOL 314; Adv Biology of Non-Vascular Plants; A; 8:00 AM - 9:15 AM; R; David Clements; 3.00
63; BIOL 314; Lab for BIOL 314; Lab A; 3:00 PM - 5:45 PM; ; Darcy Kehler; .00
64; BIOL 326; Evolutionary Theory; A; 12:00 PM - 1:15 PM; R; Dennis Venema; 3.00
65; BIOL 334; Basic and Applied Microbiology; A; 12:00 PM - 1:15 PM; W; Laura Onyango; 3.00
66; BIOL 334; Lab for BIOL 334; Lab A; 3:00 PM - 5:45 PM; ; Sarah Fandrich; .00
67; BIOL 372; Molecular Genetics; A; 9:30 AM - 10:45 AM; ; Karen Lo; 3.00
68; BIOL 372; Lab for BIOL 372; Lab A; 3:00 PM - 5:45 PM; ; Karen Lo; .00
69; BIOL 372; Lab for BIOL 372; Lab A; 3:00 PM - 5:45 PM; ; Karen Lo; .00
70; BIOL 386; Biosynthesis; A; 8:00 AM - 9:15 AM; W; Karen Lo; 3.00
71; BIOL 410; Senior Thesis; A; 1:30 PM - 2:45 PM; ; Karen Steensma; 2.00
72; BIOL 411; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Karen Steensma; 3.00
73; BIOL 470; Introduction to Bioinformatics; A; 12:00 PM - 2:45 PM; ; Herbert Tsang; 3.00
74; BIOL 474; Genetics/Cell Biology of Neoplasia; A; 3:00 PM - 4:15 PM; F; Dennis Venema; 3.00
75; BIOL 484; Conservation Biology; A; 12:00 PM - 1:15 PM; R; Karen Steensma; 3.00
76; BIOL 484; Lab for BIOL 484; Lab A; 3:00 PM - 5:45 PM; ; Karen Steensma; .00
77; BIOT 100; Biotechnology Practicum; A; 12:00 PM - 4:15 PM; ; Julia Mills; 1.00
78; BIOT 200; Biotechnology Practica II; A; 12:00 AM - 12:01 AM; ; Tba; 2.00
79; BIOT 290; Introduction to Biotechnology; A; 9:30 AM - 10:45 AM; ; Julia Mills; 3.00
80; BIOT 300; Biotechnology Practica III; A; 12:00 AM - 12:01 AM; ; Tba; 3.00
81; BIOT 400; Biotechnology Practica IV; A; 12:00 AM - 12:01 AM; ; Tba; 3.00
82; BIOT 410; Senior Thesis; A; 1:30 PM - 2:45 PM; ; Karen Steensma; 2.00
83; BIOT 470; Introduction to Bioinformatics; A; 12:00 PM - 2:45 PM; ; Herbert Tsang; 3.00
84; BUSI 111; Intro to Business & Management; A; 12:00 PM - 1:15 PM; R; Brent Groen; 3.00
85; BUSI 121; Financial Accounting; A; 12:00 PM - 2:45 PM; ; Tillie Parmar; 3.00
86; BUSI 121; Financial Accounting; B; 12:00 PM - 2:45 PM; ; Tillie Parmar; 3.00
87; BUSI 176; Business Research & Decision Making; A; 8:00 AM - 10:45 AM; ; Bosu Seo; 3.00
