sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
255; ENGL 101; Introduction to Writing; IR; 9:00 AM - 10:15 AM; ; Nam; 3.00
256; ENGL 101; Introduction to Writing; UA; 12:00 PM - 1:15 PM; W; Christy Best; 3.00
257; ENGL 102; Introduction to Literature; A; 12:00 PM - 1:15 PM; R; Lydia Forssander-; 3.00
258; ENGL 103; Introduction to Fiction; A; 12:00 PM - 1:15 PM; W; David Anonby; 3.00
259; ENGL 103; Introduction to Fiction; B; 12:00 PM - 1:15 PM; R; Jamie Hall; 3.00
260; ENGL 103; Introduction to Fiction; C; 12:00 PM - 2:45 PM; ; David Anonby; 3.00
261; ENGL 103; Introduction to Fiction; F1; 9:30 AM - 10:45 AM; ; Jamie Hall; 3.00
262; ENGL 103; Introduction to Fiction; IS; 12:00 AM - 12:01 AM; ; Micah Towery; 3.00
263; ENGL 103; Introduction to Fiction; WP; 6:00 PM - 8:45 PM; ; David Anonby; 3.00
264; ENGL 104; Introduction to Poetry and Drama; A; 9:30 AM - 10:45 AM; ; Jennifer Doede; 3.00
265; ENGL 104; Introduction to Poetry and Drama; B; 12:00 PM - 1:15 PM; W; Vic Cavalli; 3.00
266; ENGL 104; Introduction to Poetry and Drama; C; 1:30 PM - 2:45 PM; W; David Anonby; 3.00
267; ENGL 104; Introduction to Poetry and Drama; D; 3:00 PM - 4:15 PM; W; Vic Cavalli; 3.00
268; ENGL 104; Introduction to Poetry and Drama; E; 9:30 AM - 10:45 AM; ; Leah Cameron; 3.00
269; ENGL 104; Introduction to Poetry and Drama; F1; 1:30 PM - 2:45 PM; R; Jamie Hall; 3.00
270; ENGL 104; Introduction to Poetry and Drama; G; 3:00 PM - 4:15 PM; R; Laura Van Dyke; 3.00
271; ENGL 104; Introduction to Poetry and Drama; H; 6:15 PM - 9:00 PM; ; Vic Cavalli; 3.00
272; ENGL 104; Introduction to Poetry and Drama; IS; 12:00 AM - 12:01 AM; ; Micah Towery; 3.00
273; ENGL 104; Introduction to Poetry and Drama; J; 12:00 PM - 2:45 PM; ; Jennifer Doede; 3.00
274; ENGL 106; Poetry & Drama in Catholic Context; CP; 9:30 AM - 10:45 AM; ; Vic Cavalli; 3.00
275; ENGL 207; Introduction to Creative Writing; A; 3:00 PM - 4:15 PM; R; Vic Cavalli; 3.00
276; ENGL 224; Intro to American Lit. 1850-Present; A; 12:00 PM - 1:15 PM; W; Katharine Bubel; 3.00
277; ENGL 240; Indigenous Literatures; A; 1:30 PM - 2:45 PM; R; Janet Lermitte; 3.00
278; ENGL 324; Intro to American Lit. 1850-Present; A; 12:00 PM - 1:15 PM; W; Katharine Bubel; 3.00
279; ENGL 390; Jane Austen; A; 12:00 PM - 1:15 PM; R; Sara Pearson; 3.00
280; ENGL 430; Medieval English Literature; A; 1:30 PM - 2:45 PM; W; Holly Nelson; 3.00
281; ENGL 450; Honours Essay; A; -; ; Sara Pearson; 3.00
282; ENGL 482; World Literature in English; A; 9:30 AM - 10:45 AM; ; Lydia Forssander-; 3.00
283; ENGL 490; Literary Theory and Criticism; A; 12:00 PM - 2:45 PM; ; Katharine Bubel; 3.00
284; FNDN 101; The Liberal Arts Journey; A; 8:00 AM - 9:15 AM; ; Jason Burtt; 1.00
285; FNDN 101; The Liberal Arts Journey; B; 12:00 PM - 1:15 PM; ; David Squires; 1.00
286; FNDN 101; The Liberal Arts Journey; GX; 12:00 AM - 12:01 AM; ; Rob Rhea; 1.00
287; FNDN 102; Human Flourishing; A; 1:30 PM - 2:45 PM; W; Deanna Mackey; 3.00
288; FNDN 102; Human Flourishing; B; 9:30 AM - 10:45 AM; ; Andrew Heming; 3.00
289; FNDN 102; Human Flourishing; C; 8:00 AM - 9:15 AM; R; Andrew Heming; 3.00
290; FNDN 102; Human Flourishing; D; 8:00 AM - 9:15 AM; R; Deanna Mackey; 3.00
291; FNDN 102; Human Flourishing; E; 12:00 PM - 1:15 PM; W; Barbara Morrison; 3.00
292; FNDN 102; Human Flourishing; F; 9:30 AM - 10:45 AM; ; Shane Wiebe; 3.00
293; FNDN 102; Human Flourishing; G; 12:00 AM - 12:01 AM; ; Jack Reimer; 3.00
294; FNDN 102; Human Flourishing; GX; -; ; Jack Reimer; 3.00
295; FNDN 102; Lab for FNDN 102; Lab A; 8:25 AM - 9:15 AM; ; Deanna Mackey; .00
296; FNDN 102; Lab for FNDN 102; Lab B; 8:25 AM - 9:15 AM; ; Andrew Heming; .00
297; FNDN 102; Lab for FNDN 102; Lab C; 9:30 AM - 10:20 AM; ; Andrew Heming; .00
298; FNDN 102; Lab for FNDN 102; Lab D; 9:30 AM - 10:20 AM; ; Deanna Mackey; .00
299; FNDN 102; Lab for FNDN 102; Lab E; 1:30 PM - 2:20 PM; ; Jack Reimer; .00
300; FNDN 102; Lab for FNDN 102; Lab F; 8:25 AM - 9:15 AM; ; Shane Wiebe; .00
301; FNDN 102; Lab for FNDN 102; Lab G; 12:00 AM - 12:01 AM; ; Jack Reimer; .00
302; FNDN 201; Ideas that Inspire; A; 12:00 PM - 1:15 PM; W; Calvin Townsend; 3.00
303; FNDN 201; Ideas that Inspire; C; 3:00 PM - 4:15 PM; W; Calvin Townsend; 3.00
304; FNDN 201; Ideas that Inspire; D; 12:00 PM - 1:15 PM; R; Bob Doede; 3.00
305; FNDN 201; Ideas that Inspire; G; 12:00 AM - 12:01 AM; ; Dwight Friesen; 3.00
306; FREN 101; Introductory French; A; 9:30 AM - 10:45 AM; ; Sean Allison; 3.00
307; FREN 102; Introductory French; A; 4:30 PM - 5:45 PM; W; Miriam Hostetler; 3.00
308; FREN 112; Intermediate French; A; 9:30 AM - 10:45 AM; ; Sean Allison; 3.00
309; FREN 206; Langue et intro. à la littérature; A; 3:00 PM - 4:15 PM; W; Miriam Hostetler; 3.00
310; FREN 306; Langue écrite et orale; A; 3:00 PM - 4:15 PM; R; Sean Allison; 3.00
311; FREN 350; Civilisation francaise; A; 4:30 PM - 5:45 PM; R; Miriam Hostetler; 3.00
312; GAME 140; Introduction to Game Design; A; 6:15 PM - 9:00 PM; ; Andrey Goncharov; 3.00
313; GAME 290; Game Development Project I; A; 1:30 PM - 4:15 PM; ; Andrey Goncharov; 3.00
314; GAME 332; Advanced Animation Projects; A; 3:00 PM - 5:45 PM; ; John Wang; 3.00
315; GAME 350; Video Game Programming; A; 3:00 PM - 5:45 PM; ; Thomas Henshell; 3.00
316; GAME 380; Game Development Field Placement; A; 6:15 PM - 9:00 PM; ; Kevin Schut; 3.00
317; GAME 391; Game Development Project II; A; 6:15 PM - 9:00 PM; ; Eric Stein; 3.00
318; GAME 471; Video Game Aesthetics; A; 6:15 PM - 9:00 PM; ; Eric Stein; 3.00
319; GAME 491; Game Development Project III; A; 6:15 PM - 9:00 PM; ; Eric Stein; 3.00
320; GNDR 105; Introduction to Gender Studies; A; 6:15 PM - 9:00 PM; ; Robynne Healey; 3.00
321; GENV 121; Intro to Earth Systems Science; A; 1:30 PM - 2:45 PM; W; Chris Hall; 3.00
322; GENV 121; Intro to Earth Systems Science; OL; 12:00 AM - 12:01 AM; ; Chris Hall; 3.00
323; GENV 121; Lab for GENV 121; Lab A; 3:15 PM - 5:00 PM; ; Chris Hall; .00
324; GENV 121; Lab for GENV 121; Lab A; 3:15 PM - 5:00 PM; ; Chris Hall; .00
325; GENV 121; Lab for GENV 121; Lab A; 3:15 PM - 5:00 PM; ; Chris Hall; .00
326; GENV 131; Global Environmental Issues; A; 9:30 AM - 10:45 AM; ; Maxwell; 3.00
327; GENV 131; Global Environmental Issues; IS; 12:00 AM - 12:01 AM; ; Jamie Spinney; 3.00
328; GENV 182; Digital Earth; OL; 6:15 PM - 9:00 PM; ; Aimee McGowan; 3.00
329; GENV 212; Urbanization Iss. of Dev. Countries; A; 3:00 PM - 4:15 PM; W; Maxwell; 3.00
330; GENV 220; Geology of the Vancouver Region; TW; 6:00 PM - 9:00 PM; ; Terry Neufeldt; 3.00
331; GENV 230; Geography of Canada; IS; 12:00 AM - 12:01 AM; ; Jamie Spinney; 3.00
332; GENV 282; Geographic Information Systems; A; 6:15 PM - 9:00 PM; ; Geraldine Jordan; 3.00
333; GENV 341; Resources & Environmental Mgmt; A; 6:15 PM - 7:30 PM; R; Aimee McGowan; 3.00
334; GENV 356; Urban and Regional Planning; A; 12:00 PM - 1:15 PM; R; Maxwell; 3.00
335; GENV 372; Geography Internship/Practicum; A; 12:00 AM - 12:01 AM; ; Maxwell; 3.00
336; GENV 373; Geography Internship/Practicum; A; 12:00 AM - 12:01 AM; ; Maxwell; 3.00
337; GENV 374; Environmental Studies Internship; A; 12:00 AM - 12:01 AM; ; David Clements; 3.00
338; GENV 383; Geographic Data Analysis; A; 9:30 AM - 10:45 AM; ; Jason Burtt; 3.00
339; GENV 383; Tutorial for GENV 383; A    T1; 11:00 AM - 12:00 PM; ; Jason Burtt; .00
340; GENV 410; Senior Thesis; A; 1:30 PM - 2:45 PM; ; Karen Steensma; 2.00
341; GENV 482; Geovisualization; OL; 6:15 PM - 9:00 PM; ; Stuart Jones; 3.00
342; GREE 329; Elementary New Testament Greek; A; 12:00 PM - 1:15 PM; R; Kyle Parsons; 3.00
343; GREE 332; Readings in the Greek New Testament; A; 1:30 PM - 2:45 PM; W; Tom Hatina; 3.00
344; HEBR 336; Elementary Biblical Hebrew; A; 3:00 PM - 4:15 PM; W; Dirk Buchner; 3.00
345; HEBR 338; Readings in the Hebrew Bible; A; 4:30 PM - 5:45 PM; R; Dirk Buchner; 3.00
346; HIST 107; World History to 1750; GX; 12:00 AM - 12:01 AM; ; Darren Provost; 3.00
347; HIST 108; World History since 1500 (II); A; 9:30 AM - 10:45 AM; ; Steven Hicks; 3.00
348; HIST 112; History of Western Civilization; A; 9:30 AM - 10:45 AM; ; Steven Hicks; 3.00
349; HIST 136; Post-Confederation Canadian History; A; 12:00 PM - 1:15 PM; W; Bruce Shelvey; 3.00
350; HIST 136; Post-Confederation Canadian History; IS; 12:00 AM - 12:01 AM; ; Bob Burkinshaw; 3.00
351; HIST 237; Indigenous Nationhood & Canada; A; 3:00 PM - 5:45 PM; M; Bruce Shelvey; 3.00
352; HIST 262; History of Christianity; WP; 6:00 PM - 8:45 PM; M; Wergeland; 3.00
353; HIST 306; History of Economic Thought; A; 8:00 AM - 10:45 AM; ; Tracy Stobbe; 3.00
354; HIST 315; History Practicum; A; 12:00 AM - 12:01 AM; ; Robynne Healey; 3.00
355; HIST 315; History Practicum; LC; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
356; HIST 316; History Practicum; A; -; ; Robynne Healey; 3.00
357; HIST 316; History Practicum; LC; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
358; HIST 325; Twentieth Century Europe; A; 3:00 PM - 5:45 PM; R; Steven Hicks; 3.00
359; HIST 334; Canadian Government and Politics; A; 1:30 PM - 2:45 PM; MW; Leanne Smythe; 3.00
360; HIST 362; History of Christianity II; A; 6:15 PM - 9:00 PM; M; David Wood; 3.00
361; HIST 372; History of Africa Since 1500; A; 1:30 PM - 2:45 PM; MW; Steven Hicks; 3.00
362; HIST 391; Canadian Governmental Leadership; LC; 12:00 AM - 12:01 AM; ; Ann Penner; 3.00
363; HIST 406; War, Peace and Society; A; 3:00 PM - 5:45 PM; T; Robynne Healey; 3.00
364; HIST 411; History Seminar (Historiography); A; 3:00 PM - 5:45 PM; W; Bruce Shelvey; 3.00
365; HIST 440; Evolut'n of Canadian Foreign Policy; A; 6:15 PM - 9:00 PM; ; Leanne Smythe; 3.00
366; HIST 497; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Robynne Healey; 3.00
367; HIST 498; Senior Thesis; A; 12:00 AM - 12:01 AM; ; Robynne Healey; 3.00
368; HKIN 100; Self Directed Activity; A; 12:00 AM - 12:01 AM; ; Jack Reimer; 1.00
369; HKIN 100; Self Directed Activity; IS; 12:00 AM - 12:01 AM; ; Jack Reimer; 1.00
370; HKIN 102; Run for Fun; IS; 12:00 AM - 12:01 AM; ; Rob Rhea; 1.00
371; HKIN 103; Weight Training; A; 12:00 PM - 12:50 PM; ; Andrew Heming; 1.00
372; HKIN 104; Fitness for Living (Women); A; 12:00 PM - 12:50 PM; ; Deanna Mackey; 1.00
373; HKIN 105; Self-Defense for Women; A; 8:25 AM - 9:15 AM; R; Tba; 1.00
374; HKIN 108; Martial Arts-Men; A; 9:30 AM - 10:20 AM; ; Tba; 1.00
375; HKIN 117; Rugby; MT; 12:00 AM - 12:01 AM; ; Andrew Evans; 1.00
376; HKIN 117; Rugby; WT; 12:00 AM - 12:01 AM; ; Andrew Evans; 1.00
377; HKIN 131; Track and Field; MT; 12:00 AM - 12:01 AM; ; Shane Wiebe; 1.00
378; HKIN 131; Track and Field; WT; 12:00 AM - 12:01 AM; ; Shane Wiebe; 1.00
379; HKIN 137; Outdoor Pursuits II; A; 9:00 AM - 4:00 PM; ; Matthew Follette; 1.00
380; HKIN 143; Badminton; A; 9:30 AM - 10:20 AM; ; Jared Ginter; 1.00
381; HKIN 161; Basketball; MT; 12:00 AM - 12:01 AM; ; Trevor Pridie; 1.00
382; HKIN 161; Basketball; WT; 12:00 AM - 12:01 AM; ; Cheryl Jean-Paul; 1.00
383; HKIN 162; Volleyball; MT; 12:00 AM - 12:01 AM; 1/; ll; 1.00
384; HKIN 162; Volleyball; WT; 12:00 AM - 12:01 AM; 1/; Hofer; 1.00
385; HKIN 163; Soccer; MT; 12:00 AM - 12:01 AM; 1/; Shearon; 1.00
386; HKIN 163; Soccer; WT; 12:00 AM - 12:01 AM; 1/; m Roxburgh; 1.00
387; HKIN 164; Ice Hockey; WT; 12:00 AM - 12:01 AM; 1/; Laforest; 1.00
388; HKIN 191; Introduction to Exercise Physiology; A; 12:00 PM - 1:15 PM; 1/; a Fenuta; 3.00
389; HKIN 191; Lab for HKIN 191; Lab A; 12:00 PM - 1:15 PM; 1/; a Fenuta; .00
390; HKIN 191; Lab for HKIN 191; Lab A; 12:00 PM - 1:15 PM; 1/; a Fenuta; .00
391; HKIN 201; Strength and Conditioning; A; 3:00 PM - 4:15 PM; 1/; w Heming; 3.00
392; HKIN 202; Total Fitness for Women; A; 1:30 PM - 2:45 PM; 1/; l Stephenson; 3.00
393; HKIN 217; Rugby Team; MT; 12:00 AM - 12:01 AM; 1/; a; 1.00
394; HKIN 217; Rugby Team; WT; 12:00 AM - 12:01 AM; 1/; a; 1.00
395; HKIN 231; Track & Field; MT; 12:00 AM - 12:01 AM; 1/; a; 1.00
396; HKIN 235; Climbing Pursuits; A; 12:00 PM - 2:45 PM; 1/; Larochelle; 3.00
397; HKIN 260; Growth and Development; A; 1:30 PM - 2:45 PM; 1/; Turner; 3.00
398; HKIN 261; Basketball Team; MT; 12:00 AM - 12:01 AM; 1/; a; 1.00
399; HKIN 261; Basketball Team; WT; 12:00 AM - 12:01 AM; 1/; a; 1.00
400; HKIN 262; Volleyball Team; MT; 12:00 AM - 12:01 AM; 1/; Schriemer; 1.00
401; HKIN 262; Volleyball Team; WT; 12:00 AM - 12:01 AM; 1/; a; 1.00
402; HKIN 263; Soccer Team; MT; 12:00 AM - 12:01 AM; 1/; a; 1.00
403; HKIN 263; Soccer Team; WT; 12:00 AM - 12:01 AM; 1/; a; 1.00
404; HKIN 264; Hockey Team; TS; 12:00 AM - 12:01 AM; 1/; a; 1.00
405; HKIN 266; Indoor Team Sports; A; 1:30 PM - 2:45 PM; 1/; ll; 3.00
406; HKIN 277; Tech Apps in Human Kinetics & Recr.; A; 3:00 PM - 4:15 PM; 1/; Turner; 3.00
407; HKIN 280; Intro to Coaching; A; 12:00 PM - 1:15 PM; 1/; Turner; 3.00
408; HKIN 298; Introduction to Biomechanics; A; 9:30 AM - 10:45 AM; 1/; Sinclair; 3.00
409; HKIN 303; Advanced Strength Training; A; 3:00 PM - 4:15 PM; 1/; Luke; 3.00
410; HKIN 303; Lab for HKIN 303; Lab A; 3:00 PM - 3:50 PM; 1/; w Heming; .00
411; HKIN 303; Lab for HKIN 303; Lab A; 3:00 PM - 3:50 PM; 1/; w Heming; .00
412; HKIN 317; Rugby Team; MT; 12:00 AM - 12:01 AM; 1/; a; 1.00
413; HKIN 317; Rugby Team; WT; 12:00 AM - 12:01 AM; 1/; a; 1.00
414; HKIN 320; Management & Facilities; A; 3:00 PM - 4:15 PM; 1/; Ginter; 3.00
415; HKIN 331; Track & Field; TS; 12:00 AM - 12:01 AM; 1/; a; 1.00
416; HKIN 342; Dance Explorations; A; 6:30 PM - 9:15 PM; 1/; Crawford; 3.00
417; HKIN 350; Teaching Physical Education; A; 3:00 PM - 4:15 PM; 1/; Turner; 3.00
418; HKIN 351; Leadership & Management; A; 1:30 PM - 2:45 PM; 1/; Larochelle; 3.00
419; HKIN 355; Core Teaching Experience I; A; 12:00 AM - 12:01 AM; 1/; Reimer; 1.00
420; HKIN 355; Core Teaching Experience I; B; 12:00 AM - 12:01 AM; 1/; Reimer; 2.00
421; HKIN 361; Basketball Team; MT; 12:00 AM - 12:01 AM; 1/; r Pridie; 1.00
422; HKIN 361; Basketball Team; WT; 12:00 AM - 12:01 AM; 1/; l Jean-Paul; 1.00
423; HKIN 362; Volleyball Team; MT; 12:00 AM - 12:01 AM; 1/; ll; 1.00
424; HKIN 362; Volleyball Team; WT; 12:00 AM - 12:01 AM; 1/; Hofer; 1.00
425; HKIN 363; Soccer Team; MT; 12:00 AM - 12:01 AM; 1/; Shearon; 1.00
426; HKIN 363; Soccer Team; WT; 12:00 AM - 12:01 AM; 1/; m Roxburgh; 1.00
427; HKIN 364; Hockey Team; MT; 12:00 AM - 12:01 AM; 1/; t Kropf; 1.00
428; HKIN 364; Hockey Team; WT; 12:00 AM - 12:01 AM; 1/; Laforest; 1.00
429; HKIN 372; Athletic Injuries; A; 12:00 PM - 1:15 PM; 1/; a Mackey; 3.00
430; HKIN 372; Lab for HKIN 372; Lab A; 9:30 AM - 10:20 AM; 1; na Mackey; .00
431; HKIN 372; Lab for HKIN 372; Lab A; 9:30 AM - 10:20 AM; 1; na Mackey; .00
432; HKIN 375; Research Methods; A; 1:30 PM - 2:45 PM; 1; Bodner; 3.00
433; HKIN 417; Rugby Team; MT; 12:00 AM - 12:01 AM; 1; ba; 1.00
434; HKIN 417; Rugby Team; WT; 12:00 AM - 12:01 AM; 1; ba; 1.00
435; HKIN 431; Track & Field; TS; 12:00 AM - 12:01 AM; 1; ba; 1.00
436; HKIN 440; Applied Mental Skills SportsFitness; A; 9:30 AM - 10:45 AM; 1; r Whitmarsh; 3.00
437; HKIN 446; Advanced Human Anatomy; A; 12:00 PM - 1:15 PM; 1; a Cote; 3.00
438; HKIN 455; Core Teaching Experience II; A; 12:00 AM - 12:01 AM; 1; Reimer; 1.00
439; HKIN 455; Core Teaching Experience II; B; 12:00 AM - 12:01 AM; 1; Reimer; 2.00
440; HKIN 456; Core Teaching Experience III; A; 12:00 AM - 12:01 AM; 1; Reimer; 1.00
441; HKIN 456; Core Teaching Experience III; B; 12:00 AM - 12:01 AM; 1; Reimer; 2.00
442; HKIN 457; Coaching Experience; A; 12:00 AM - 12:01 AM; 1; Reimer; 1.00
443; HKIN 457; Coaching Experience; B; 12:00 AM - 12:01 AM; 1; Reimer; 2.00
444; HKIN 458; Approved Leadership Experience I; A; 12:00 AM - 12:01 AM; 1; Reimer; 1.00
445; HKIN 458; Approved Leadership Experience II; B; 12:00 AM - 12:01 AM; 1; Reimer; 2.00
446; HKIN 459; Sport & Leisure Management I; A; 12:00 AM - 12:01 AM; 1; Reimer; 3.00
447; HKIN 460; Sport & Leisure Management II; A; 12:00 AM - 12:01 AM; 1; Reimer; 3.00
448; HKIN 461; Basketball Team; MT; 12:00 AM - 12:01 AM; 1; or Pridie; 1.00
449; HKIN 461; Basketball Team; WT; 12:00 AM - 12:01 AM; 1; yl Jean-Paul; 1.00
450; HKIN 462; Volleyball Team; MT; 12:00 AM - 12:01 AM; 1; all; 1.00
451; HKIN 462; Volleyball Team; WT; 12:00 AM - 12:01 AM; 1; Hofer; 1.00
452; HKIN 463; Soccer Team; MT; 12:00 AM - 12:01 AM; 1; Shearon; 1.00
453; HKIN 463; Soccer Team; WT; 12:00 AM - 12:01 AM; ; Graham Roxburgh; 1.00
454; HKIN 464; Hockey Team; MT; -; ; Barret Kropf; 1.00
455; HKIN 464; Hockey Team; WT; -; ; Jean Laforest; 1.00
456; HKIN 475; Clinical Exercise Physiology; A; 9:30 AM - 10:45 AM; ; Alyssa Fenuta; 3.00
457; HKIN 492; Health Promotion; A; 8:00 AM - 9:15 AM; W; Mike Bodner; 3.00
458; HKIN 495; Senior Seminar; A; 6:30 PM - 9:15 PM; ; Bill Luke; 3.00
459; HUMA 130; Introduction to Law; A; 9:30 AM - 10:45 AM; ; Buckingham; 3.00
460; IDIS 201; Indigenous people of Turtle Island; A; 12:00 PM - 2:45 PM; ; Patti Victor; 3.00
461; IDIS 410; Influencing the Changing Workplace; A; 3:00 PM - 5:45 PM; ; Brian Albright; 3.00
462; IDIS 410; Influencing the Changing Workplace; B; 6:15 PM - 9:00 PM; ; Brian Albright; 3.00
463; IDIS 493; Law,Public Policy&Cultural Change; LC; 12:00 AM - 12:01 AM; ; Jon Waind; 3.00
464; JAPA 101; Introduction to Japanese; I2; 1:00 PM - 4:00 PM; ; Isao Ebihara; 3.00
465; JAPA 101; Introduction to Japanese; IR; 9:00 AM - 12:00 PM; ; Isao Ebihara; 3.00
466; JAPA 102; Introduction to Japanese; A; 1:30 PM - 2:45 PM; R; Isao Ebihara; 3.00
467; LLC 001; LLC Program Fee (Ottawa); A; 12:00 AM - 12:01 AM; ; Tba; .00
468; LDRS 220; Leading With Numbers; GX; 12:00 AM - 12:01 AM; ; Matthew Simonis; 3.00
469; LDRS 220; Leading With Numbers; IS; -; ; Matthew Simonis; 3.00
470; LDRS 220; Leading With Numbers; OL; 12:00 AM - 12:01 AM; ; Matthew Simonis; 3.00
471; LDRS 300; Leadership as Service; A; 6:00 PM - 9:00 PM; ; Rob Bedard; 3.00
472; LDRS 300; Leadership as Service; I2; 9:00 AM - 12:00 PM; ; Hendrik Prins; 3.00
473; LDRS 300; Leadership as Service; I3; 1:00 PM - 4:00 PM; ; Hendrik Prins; 3.00
474; LDRS 300; Leadership as Service; I4; 1:30 PM - 4:30 PM; ; Monica Muldoon; 3.00
475; LDRS 300; Leadership as Service; IR; 9:00 AM - 12:00 PM; ; Chen; 3.00
476; LDRS 300; Leadership as Service; OL; -; ; Neil Best; 3.00
477; LDRS 301; Lifelong Learning in Leadership; I2; 1:00 PM - 4:00 PM; ; Geoffrey Feng; 2.00
478; LDRS 301; Lifelong Learning in Leadership; IN; 8:00 AM - 10:45 AM; ; Geoffrey Feng; 2.00
479; LDRS 301; Lifelong Learning in Leadership; IR; 9:00 AM - 12:00 PM; ; Geoffrey Feng; 2.00
480; LDRS 302; Historical Concepts & Theories; A; 6:00 PM - 9:00 PM; ; Mike Sambrook; 3.00
481; LDRS 302; Historical Concepts & Theories; I2; 9:00 AM - 12:00 PM; ; Adrian Wee; 3.00
482; LDRS 302; Historical Concepts & Theories; I3; 1:00 PM - 4:00 PM; ; Kevin Carmichael; 3.00
483; LDRS 302; Historical Concepts & Theories; I4; 1:30 PM - 4:30 PM; ; Gerald Van Dyck; 3.00
484; LDRS 302; Historical Concepts & Theories; IR; 9:00 AM - 12:00 PM; ; Rebecca Straforelli; 3.00
485; LDRS 303; Contemporary Leadership Approaches; I2; 1:00 PM - 4:00 PM; ; Rob Tegelberg; 3.00
486; LDRS 303; Contemporary Leadership Approaches; I3; 9:00 AM - 12:00 PM; ; Rob Tegelberg; 3.00
487; LDRS 303; Contemporary Leadership Approaches; I4; 1:00 PM - 4:00 PM; ; Rob Tegelberg; 3.00
488; LDRS 303; Contemporary Leadership Approaches; IN; 12:00 PM - 2:45 PM; ; Stephen Liang; 3.00
489; LDRS 303; Contemporary Leadership Approaches; IR; 9:00 AM - 12:00 PM; ; Rebecca Straforelli; 3.00
490; LDRS 310; The Learning Organization; I2; 9:00 AM - 12:00 PM; ; Hendrik Prins; 3.00
491; LDRS 310; The Learning Organization; I3; 1:00 PM - 4:00 PM; ; Hendrik Prins; 3.00
492; LDRS 310; The Learning Organization; IR; 9:00 AM - 12:00 PM; ; Rob Tegelberg; 3.00
493; LDRS 320; Ethical Decision Making; I2; 9:00 AM - 12:00 PM; ; Linda Vandersys; 3.00
494; LDRS 320; Ethical Decision Making; I3; 1:00 PM - 4:00 PM; ; Linda Vandersys; 3.00
495; LDRS 320; Ethical Decision Making; IR; 5:30 PM - 8:30 PM; ; Gerald Van Dyck; 3.00
496; LDRS 330; Leadership in Org.& Small Groups; I2; 1:00 PM - 4:00 PM; ; Lily Sha; 3.00
497; LDRS 330; Leadership in Org.& Small Groups; I3; 1:00 PM - 4:00 PM; ; Lily Sha; 3.00
498; LDRS 330; Leadership in Org.& Small Groups; I4; 1:00 PM - 4:00 PM; ; Gang Li; 3.00
499; LDRS 330; Leadership in Org.& Small Groups; IN; 8:00 AM - 10:45 AM; ; Rob Giesbrecht; 3.00
500; LDRS 375; Culture & Christianity; A; 6:00 PM - 9:00 PM; ; Paul Chamberlain; 3.00
501; LDRS 375; Culture & Christianity; I2; 9:00 AM - 12:00 PM; ; Chris Christiansen; 3.00
502; LDRS 375; Culture & Christianity; I3; 1:00 PM - 4:00 PM; ; Chris Christiansen; 3.00
503; LDRS 375; Culture & Christianity; I4; 1:00 PM - 4:00 PM; ; Chris Christiansen; 3.00
504; LDRS 375; Culture & Christianity; IN; 12:00 PM - 2:45 PM; ; Monica Muldoon; 3.00
505; LDRS 375; Culture & Christianity; IR; 9:00 AM - 12:00 PM; ; Chen; 3.00
506; LDRS 400; Managing Conflict; I2; 9:00 AM - 12:00 PM; ; Ken Kush; 3.00
507; LDRS 400; Managing Conflict; I3; 1:30 PM - 4:30 PM; ; Ken Kush; 3.00
508; LDRS 400; Managing Conflict; I4; 9:00 AM - 12:00 PM; ; Rebecca Straforelli; 3.00
509; LDRS 400; Managing Conflict; IR; 1:00 PM - 4:00 PM; ; Ryan Williams; 3.00
510; LDRS 410; Persuasion and Positive Influence; A; 6:00 PM - 9:00 PM; ; Dave Blundell; 3.00
511; LDRS 410; Persuasion and Positive Influence; I2; 5:30 PM - 8:30 PM; ; Shelley Gossett; 3.00
512; LDRS 410; Persuasion and Positive Influence; I3; 9:00 AM - 12:00 PM; ; Adrian Wee; 3.00
513; LDRS 410; Persuasion and Positive Influence; I4; 1:00 PM - 4:00 PM; ; Adrian Wee; 3.00
514; LDRS 410; Persuasion and Positive Influence; IF; -; ; Dotun Reju; 3.00
515; LDRS 410; Persuasion and Positive Influence; IN; 4:30 PM - 7:30 PM; ; Carrie Paproski; 3.00
516; LDRS 410; Persuasion and Positive Influence; IR; 1:00 PM - 4:00 PM; ; Chen; 3.00
517; LDRS 420; Leading Change; A; 6:00 PM - 9:00 PM; ; Steven Kim; 3.00
518; LDRS 420; Leading Change; I2; 1:00 PM - 4:00 PM; ; Stephen Liang; 3.00
519; LDRS 420; Leading Change; I3; 9:00 AM - 12:00 PM; ; Steven Kim; 3.00
520; LDRS 420; Leading Change; I4; 1:00 PM - 4:00 PM; ; Steven Kim; 3.00
521; LDRS 420; Leading Change; IR; 9:00 AM - 12:00 PM; ; Stephen Liang; 3.00
522; LDRS 420; Leading Change; OL; -; ; Steven Kim; 3.00
523; LDRS 432; Building Leaders II; I2; 9:00 AM - 12:00 PM; ; Ken Kush; 1.00
524; LDRS 432; Building Leaders II; I3; 1:00 PM - 4:00 PM; ; Kate Walters; 1.00
525; LDRS 432; Building Leaders II; I4; 1:30 PM - 4:30 PM; ; Ken Kush; 1.00
